"gene","rho","p_value","n_groups","cnv_sd","expr_sd","padj"
"LY6E",0.694768370628963,1.10508200553224e-08,52,0.860565600252449,0.755125579397882,2.36752768865228e-06
"SLPI",0.691709958978433,1.36084439979538e-08,52,0.666760928479321,1.01045456219789,2.80333946357849e-06
"HMGA1",0.691134843830735,1.41477391770076e-08,52,0.46604138242837,0.406794598891037,2.8064922604464e-06
"GNG5",0.690099339366792,1.51697991280726e-08,52,0.682412100207641,0.545250305572537,2.90176586178418e-06
"KRT8",0.686231110144757,1.96357109920856e-08,52,0.576042565881542,0.769361126241004,3.62651269219346e-06
"PPCS",0.683308129795993,2.38013256396993e-08,52,0.725271052467635,0.278132698394192,4.24933000420765e-06
"EBNA1BP2",0.68125208689731,2.72146643230575e-08,52,0.714797274258992,0.358066964343118,4.70199168110632e-06
"PRPF6",0.678999154495675,3.14807294167071e-08,52,0.908108271895022,0.362800931779095,5.26908708612134e-06
"MRPL24",0.673354224603085,4.50921822558849e-08,52,0.80533664957914,0.401759763130838,7.17884920189368e-06
"UQCRH",0.673186251558689,4.55714848514535e-08,52,0.710564536677925,0.771250468868945,7.17884920189368e-06
"EIF3E",0.671553129085817,5.04875922496016e-08,52,0.828189251256883,0.736946669564421,7.72604411682475e-06
"UQCRB",0.670431903002516,5.41464584165653e-08,52,0.828189251256883,0.708413726640064,7.97316505337488e-06
"RPL28",0.670004171298357,5.56067424777284e-08,52,0.733542408150376,0.691021260718009,7.97316505337488e-06
"CRABP2",0.669728217980765,5.65683853674842e-08,52,0.813720947124282,0.773774520022138,7.97316505337488e-06
"MCRIP2",0.668771383272195,6.00250536845947e-08,52,0.765981069277632,0.204002250426644,7.98254146821468e-06
"MRPL21",0.668586966427675,6.07136650452955e-08,52,0.668173259925174,0.425683615013199,7.98254146821468e-06
"LGALS1",0.668482748357966,6.1106086668559e-08,52,0.437237316097603,0.961248770965356,7.98254146821468e-06
"S100A11",0.663748554367545,8.16638896398668e-08,52,0.928028449140043,0.892892829011952,1.04140903074078e-05
"ITPA",0.660158793761156,1.01401609367747e-07,52,0.536383622651333,0.542175009523709,1.26303958086896e-05
"TOMM20",0.658583151125324,1.11407276778762e-07,52,0.82476743831225,0.54961909848732,1.34844789629113e-05
"GID8",0.65830102023861,1.13293792630882e-07,52,0.889014571305761,0.203718996444517,1.34844789629113e-05
"GORASP2",0.655802178911348,1.31360202299072e-07,52,0.631023014832953,0.321691501376236,1.52948965981267e-05
"CCDC124",0.654859290530807,1.38853200349569e-07,52,0.564136842507123,0.288749784584584,1.55356755058881e-05
"S100A6",0.65481322377606,1.39229354795114e-07,52,1.00301205501418,0.749554383916436,1.55356755058881e-05
"SDCCAG8",0.653149328794927,1.5347376283282e-07,52,0.822707519196087,0.454238501882535,1.64837429328374e-05
"FH",0.653103909016749,1.53881095340155e-07,52,0.822707519196087,0.302886339714535,1.64837429328374e-05
"H3F3A",0.652059911856596,1.63527773734125e-07,52,0.775764110249457,0.828087804778149,1.71736226690191e-05
"VIM",0.64980584606253,1.86320290735793e-07,52,0.437237316097603,1.15893900007682,1.90214853236128e-05
"TSNAX",0.649629266071172,1.8822604969221e-07,52,0.82476743831225,0.280376052578954,1.90214853236128e-05
"CD24",0.648061374582739,2.05966736246438e-07,52,0.641395067003066,0.730315384760859,2.04288488765911e-05
"ELOB",0.643042085884117,2.73861477362609e-07,52,0.513395228487258,0.60212859960416,2.66691285955297e-05
"SRP9",0.641944148056797,2.91271468200387e-07,52,0.747797167230694,0.617881262610108,2.78069738829461e-05
"PFDN4",0.641660822300654,2.95929333705737e-07,52,0.750062843018251,0.330013954264331,2.78069738829461e-05
"TMEM59",0.639779470100234,3.28671145786675e-07,52,0.664494954453923,0.590598448533858,3.03510802902316e-05
"TP53BP2",0.633854299036071,4.55299032635145e-07,52,0.706306433696128,0.115625907508418,4.13318918439634e-05
"MRPS21",0.633065657011231,4.75236875033073e-07,52,0.640512615220349,0.583112213668199,4.24228117112856e-05
"RPL6",0.631556293816526,5.1568988424352e-07,52,0.533564241115052,0.596500671601072,4.52792626230868e-05
"SNAP47",0.63068402260478,5.40511994113573e-07,52,0.775764110249457,0.15473629005711,4.62619693049625e-05
"ARID4B",0.63055910254898,5.44156845820134e-07,52,0.82476743831225,0.323389020318347,4.62619693049625e-05
"CNIH4",0.628658207400749,6.02531380306707e-07,52,0.714797274258992,0.349080030996887,5.04243448894175e-05
"ZFAS1",0.626886240523434,6.62165849896228e-07,52,0.727347709695574,0.690855640766965,5.45624660314492e-05
"EEF1A1",0.625866839099556,6.98925159490449e-07,52,0.666760928479321,0.628190752364607,5.67188356701643e-05
"DOK5",0.624202575463701,7.6305755008314e-07,52,0.750062843018251,0.29371849984524,5.95779877769e-05
"CHTOP",0.624138762009481,7.6562263755655e-07,52,0.982501501578149,0.253006997466651,5.95779877769e-05
"NAXE",0.624091484516501,7.67528221920482e-07,52,0.866678268863052,0.437510385864084,5.95779877769e-05
"LAMTOR2",0.622592630583394,8.30287107627268e-07,52,0.846205263760685,0.329248838324434,6.31214260454237e-05
"DYNLL1",0.622444386580952,8.36747806053973e-07,52,0.646372871016508,0.622126375073153,6.31214260454237e-05
"GCSH",0.622085937422177,8.52563913392081e-07,52,0.525015262293417,0.437176586386493,6.34212822239998e-05
"PEBP1",0.620946697198344,9.0470307093954e-07,52,0.65564033844301,0.683970229497913,6.63779403829065e-05
"IFITM1",0.620443713017549,9.2865664542227e-07,52,0.847985813364926,0.720074274485198,6.72146620659687e-05
"HSBP1",0.616872039242926,1.11654320524724e-06,52,0.529663087656049,0.5639678151575,7.97360720973899e-05
"HLA-F",0.616170124170757,1.15740391248872e-06,52,0.457466958478476,0.230760727821657,8.08264678182483e-05
"IARS2",0.616092729181701,1.16199365608759e-06,52,0.682412100207641,0.224180550967031,8.08264678182483e-05
"RFXANK",0.615569599556064,1.19346447929781e-06,52,0.56912782893757,0.302224370846938,8.19512275784496e-05
"CFDP1",0.614156145275769,1.28251482433814e-06,52,0.529663087656049,0.339597506454567,8.49890827356521e-05
"PYCR2",0.614148988967218,1.28298104069482e-06,52,0.775764110249457,0.273649943243257,8.49890827356521e-05
"SERTAD4-AS1",0.613964594290898,1.29504851918167e-06,52,0.646372871016508,0.403211867953797,8.49890827356521e-05
"TOMM6",0.613871559347688,1.30117714419781e-06,52,0.609131122158358,0.523360845762139,8.49890827356521e-05
"MEAF6",0.612612958383098,1.38678768634046e-06,52,0.605094011867236,0.429029687708252,8.94895764824034e-05
"AL445524.1",0.611528738516332,1.46471531171287e-06,52,0.82476743831225,0.1677834585557,9.23682669152298e-05
"HSPD1",0.611512820340469,1.46588922475626e-06,52,0.574403750140058,0.64839912463723,9.23682669152298e-05
"PSMB2",0.610530241999133,1.5400718214554e-06,52,0.561120942324857,0.464325049115181,9.59142404152924e-05
"HAX1",0.60874059050036,1.68424633813756e-06,52,0.889014571305761,0.33046039513883,0.000103687625138676
"RPS9",0.608248955948138,1.7259984127897e-06,52,0.69554713860465,0.720003970575902,0.000105050539760246
"PRELID3B",0.606742399054251,1.8600223576856e-06,52,0.863845623323487,0.297104538661559,0.000111935727502967
"NPW",0.605887973472283,1.9402751314082e-06,52,0.571771874896866,0.330168552314021,0.00011537525927419
"RPL7",0.605680329173626,1.96025925951294e-06,52,0.785185224710751,0.812153964463787,0.00011537525927419
"SSB",0.604847201723598,2.04238344092248e-06,52,0.605405514596681,0.559706441907103,0.000118902235973705
"CYP4B1",0.604335098342978,2.09444044913645e-06,52,0.710564536677925,0.404983111521671,0.000120621753178224
"SH3BGRL3",0.603811834594871,2.14890533637398e-06,52,0.444082934925455,0.66288994941192,0.000122441882783181
"C19orf33",0.603504114431545,2.18154742342807e-06,52,0.558763988254554,0.612073351593838,0.000122993347367166
"GNAS",0.603008859980245,2.23505296530236e-06,52,0.817189016315151,0.595401858431019,0.000124697330022494
"CLU",0.601756373014356,2.37586473267484e-06,52,0.498867495714586,1.17339219244975,0.000131186922765015
"FLAD1",0.599442786241364,2.65790439755014e-06,52,0.848208119257686,0.135179897783038,0.000145262611768148
"KARS",0.598934225232512,2.72393744284611e-06,52,0.529663087656049,0.2112213717478,0.000147329801530719
"RAE1",0.598731043223586,2.75074312043912e-06,52,0.795917183440543,0.18720176376137,0.000147329801530719
"RPS26",0.59849202955541,2.78258995532465e-06,52,0.664494954453923,0.568585915220241,0.000147559918818998
"JUNB",0.598160684525977,2.82730657532505e-06,52,0.588988959121321,0.857214842581185,0.00014846131389648
"MIR205HG",0.595947107135053,3.14361236862038e-06,52,0.727347709695574,0.329659461855188,0.00016346784316826
"METRN",0.595099906265729,3.27314507516667e-06,52,0.765981069277632,0.497695991678233,0.000168566971371084
"RCOR3",0.594187092088345,3.41824966298717e-06,52,0.646372871016508,0.169519311283993,0.000174363287571041
"YBX1",0.591504013332693,3.88010529041229e-06,52,0.704435419989046,0.694776482499548,0.000196055131466493
"KLK8",0.591172879386783,3.9409598336535e-06,52,0.627126848783047,0.471840668299762,0.000197268980084562
"STAU1",0.590208386902211,4.12329889101758e-06,52,0.726569658793938,0.348299978153935,0.000202624813136892
"APRT",0.59020672754845,4.12361923672914e-06,52,0.561120942324857,0.595968986574094,0.000202624813136892
"SF3B1",0.589587779572905,4.2447352553693e-06,52,0.574403750140058,0.369449770406467,0.000206596263445047
"MRPL55",0.589352306306265,4.2916738303258e-06,52,0.775764110249457,0.271384890229901,0.000206596263445047
"PPP1R16A",0.589210560850474,4.32016084873884e-06,52,0.886253319999228,0.430931344329277,0.000206596263445047
"RPS21",0.588650648177891,4.43441331568285e-06,52,0.889014571305761,0.58712700150666,0.000210183342644224
"DCAF8",0.588396631961205,4.48716579799626e-06,52,0.731741038352813,0.192806500167796,0.000210818070298842
"NDUFV1",0.588091045801693,4.5513998271181e-06,52,0.677977206110967,0.421885694622127,0.000211830283802147
"OCEL1",0.587919599397827,4.58781047816451e-06,52,0.564136842507123,0.114587965890041,0.000211830283802147
"PIGC",0.587467363537236,4.68515460493878e-06,52,0.540933777308166,0.258782659176237,0.000213310315698833
"HSP90AB1",0.587401375543256,4.69951778425361e-06,52,0.682412100207641,0.788762817538576,0.000213310315698833
"RPL41",0.586204629481371,4.9672026230583e-06,52,0.661366563656932,0.572540478167251,0.000223565859236137
"KRT7",0.585511881296758,5.1285510659357e-06,52,0.576042565881542,0.628926555965404,0.00022890432924293
"TATDN1",0.585107362191402,5.22500302329675e-06,52,0.849762632103848,0.311206524817082,0.00022972513811985
"CACYBP",0.585023451111697,5.24522004676087e-06,52,0.541978388086036,0.569383696663954,0.00022972513811985
"SLC40A1",0.584875484991647,5.28104702422429e-06,52,0.607581561972936,0.265028547406072,0.00022972513811985
"NDUFB6",0.58452311239894,5.36728297085168e-06,52,0.561120942324857,0.424783512284556,0.00022972513811985
"DNPH1",0.584375769826999,5.40372787318784e-06,52,0.666760928479321,0.525996145051743,0.00022972513811985
"TUSC3",0.584373511841246,5.40428816338706e-06,52,0.539188262020282,0.577185911051846,0.00022972513811985
"TMEM134",0.584075424119832,5.47872980944742e-06,52,0.697712271121127,0.240567001113492,0.000230862516723288
"SCGB1D2",0.58392264099905,5.51725208001884e-06,52,0.364321307478654,0.424767751866521,0.000230862516723288
"DRAP1",0.583165099487944,5.71199513000294e-06,52,0.638153444717276,0.376152651563032,0.000237158495475161
"COA6",0.582361017898066,5.92566383709419e-06,52,0.82476743831225,0.40461619257787,0.000242807042187419
"IFITM3",0.582312803528962,5.93870846276173e-06,52,0.847985813364926,0.657055048498253,0.000242807042187419
"TCEA2",0.582099527126388,5.99673147576761e-06,52,0.908108271895022,0.313012813644613,0.000243321922607661
"RBM38",0.580429047669809,6.46971311692827e-06,52,0.795917183440543,0.30089735838358,0.000260539725220059
"CSE1L",0.578824644699561,6.95633281434829e-06,52,0.725271052467635,0.353153003098656,0.000276401209785855
"BTF3L4",0.578732586592859,6.98525795864282e-06,52,0.687092810994308,0.364813057692895,0.000276401209785855
"DPM3",0.578627532622261,7.01840263832641e-06,52,0.848208119257686,0.446124152130621,0.000276401209785855
"PCBP2",0.577881503617154,7.25800165163531e-06,52,0.607581561972936,0.398302252387427,0.000282540188370748
"PPIG",0.577814804134173,7.2797882739289e-06,52,0.574403750140058,0.441702692369143,0.000282540188370748
"TMEM223",0.576872061415148,7.59427737356108e-06,52,0.469266620789964,0.257831192543974,0.000291012430396169
"NDUFAF4",0.576835429863032,7.60674762051226e-06,52,0.610058969036074,0.299081497013098,0.000291012430396169
"ZFPL1",0.576613589310305,7.68267364196477e-06,52,0.606649926011712,0.443253871123218,0.000291832624300449
"TIPRL",0.576234274448951,7.81412470627955e-06,52,0.540933777308166,0.196697616458418,0.00029473557694953
"METTL5",0.574998625593018,8.25692630023684e-06,52,0.602596193105882,0.379312661534004,0.000309259421427052
"SRSF11",0.574572428723877,8.41496955691052e-06,52,0.671269929499584,0.444555012910343,0.000312990117686199
"UCKL1",0.5741747358058,8.56496528902554e-06,52,0.908108271895022,0.171886751175673,0.000314635389298013
"KLHDC3",0.574143914317682,8.57669283747385e-06,52,0.666760928479321,0.186213999400015,0.000314635389298013
"GRINA",0.572377263018932,9.2743040634959e-06,52,0.860565600252449,0.462511328283777,0.000334647211025442
"DAP3",0.572362227266688,9.28046055618133e-06,52,0.846205263760685,0.270300496875205,0.000334647211025442
"CDC42",0.572264703042901,9.32048447091121e-06,52,0.378534125891649,0.330355441708081,0.000334647211025442
"COX7A2",0.572139453406112,9.37212129458854e-06,52,0.666760928479321,0.561518426656805,0.000334647211025442
"S100A1",0.571656068015628,9.57390066960765e-06,52,0.982501501578149,0.788449941288696,0.0003394625345041
"BAX",0.571514531562269,9.63373884328291e-06,52,0.631023014832953,0.340195552320978,0.0003394625345041
"NR1H2",0.571242422558689,9.74975361561178e-06,52,0.626224291085149,0.18177609158812,0.000341305100426253
"PFDN2",0.569229444670373,1.06490097405844e-05,52,0.66901922767473,0.442568966268761,0.000370364260847856
"RPL37A",0.565840761820232,1.23379984110596e-05,52,0.525015262293417,0.729373511746167,0.000426337545094421
"PRDX6",0.565093431217756,1.27423692991596e-05,52,0.540933777308166,0.688970030441823,0.00043748801260448
"RPL32",0.564913362484927,1.28416170099457e-05,52,0.533564241115052,0.651311401279023,0.000438087265638656
"UBB",0.564518492366069,1.30617630103207e-05,52,0.513395228487258,0.651304031521242,0.000442777232172644
"C20orf204",0.563944795819315,1.33878299281047e-05,52,0.908108271895022,0.376246457925316,0.000450976208144206
"TFB2M",0.563727466211212,1.35133046290686e-05,52,0.822707519196087,0.158457763283345,0.00045235787245807
"BUD23",0.563019016783283,1.39299131432901e-05,52,0.486623482040275,0.227626356821412,0.000463407545313427
"FOLR1",0.562833558707867,1.40409166645318e-05,52,0.574403750140058,0.607475421712788,0.000464216973180447
"RPS20",0.562244587661978,1.43988814833243e-05,52,0.582551728035463,0.537847503336638,0.000473131344936717
"SPATS2L",0.562002250407639,1.45486032382392e-05,52,0.588988959121321,0.366772743689428,0.000475136091122007
"KXD1",0.560847027411738,1.52823055595121e-05,52,0.584812818927992,0.140348646973612,0.000496072900465132
"CD164",0.560354357650843,1.56054850104243e-05,52,0.640512615220349,0.408192497797024,0.000503511913950799
"HLA-A",0.560101244432566,1.57739652556027e-05,52,0.457466958478476,0.763610275283319,0.000505900346760528
"PSMB4",0.559578351252822,1.61273534957345e-05,52,0.886253319999228,0.345689914907917,0.000514155388828296
"CCNC",0.5587650557289,1.66915632265561e-05,52,0.610367937893074,0.232779638248661,0.000528994157641624
"MRPL13",0.55861962931521,1.67943512048143e-05,52,0.851535743331979,0.427247093584047,0.000529120853252855
"CD46",0.55773380124208,1.74331884688837e-05,52,0.727347709695574,0.393260585613487,0.000546036008417201
"UQCC2",0.556535976762375,1.83327428271816e-05,52,0.473665466715671,0.348890667438968,0.000570873084781307
"CHI3L1",0.554802517915705,1.97106133600941e-05,52,0.749811439343343,0.49516357386936,0.000610231474894011
"PPIH",0.55432338856493,2.01079729148944e-05,52,0.736876126183612,0.28639798625464,0.000618955763978013
"C1orf131",0.55164616691962,2.24676852295159e-05,52,0.82476743831225,0.161874569926063,0.000687639554795927
"MRPS15",0.550830533408225,2.32358017193095e-05,52,0.565472079505124,0.282735754119787,0.000707107693230804
"CD55",0.549744891933155,2.42957811564125e-05,52,0.727347709695574,0.403288467367657,0.000735187592507035
"C8orf82",0.549449958646158,2.45913465533823e-05,52,0.886253319999228,0.171113569045842,0.000737189445848825
"RPL10A",0.549252260203756,2.47913205795445e-05,52,0.486235888603994,0.788652424579565,0.000737189445848825
"JUND",0.549134963873505,2.49106745025971e-05,52,0.589948485620799,0.706475703663263,0.000737189445848825
"EMC10",0.549133184911829,2.49124887413438e-05,52,0.610058969036074,0.154473584964458,0.000737189445848825
"CREG1",0.54830316100616,2.57723852679529e-05,52,0.572101521436154,0.286972086873499,0.000754299975383364
"KIFAP3",0.547991707322151,2.6102045947473e-05,52,0.540933777308166,0.234179528698269,0.000754578888556056
"SRSF6",0.547903007103836,2.61966399056474e-05,52,0.65793680900642,0.285058240000884,0.000754578888556056
"PCM1",0.547895585153458,2.62045693187876e-05,52,0.498867495714586,0.432146709596667,0.000754578888556056
"NDUFS2",0.546169101642715,2.81103947803783e-05,52,0.605094011867236,0.411707422185354,0.000800863956426562
"MAGOH",0.546168585821483,2.81109827871907e-05,52,0.657650188731871,0.360169157183766,0.000800863956426562
"TMEM238",0.545464811855102,2.89238845237254e-05,52,0.733542408150376,0.430263734306265,0.000819663097931605
"MTX2",0.544314074325756,3.02998378953874e-05,52,0.584812818927992,0.260748396480887,0.000854136482987867
"PBX1",0.544054578162258,3.06183366053686e-05,52,0.56912782893757,0.233679973410458,0.000858595868368346
"GGCT",0.543737575749486,3.10115999678087e-05,52,0.447887617880174,0.505110020186775,0.000865094424101998
"LINC00665",0.543484558663022,3.13288171807922e-05,52,0.574403750140058,0.447504171897383,0.00086941525813639
"JTB",0.542493508861908,3.26003229427525e-05,52,0.922935509529854,0.377060890724881,0.000900037781862796
"ERI3",0.540640093806226,3.51065743221395e-05,52,0.714797274258992,0.180118526158553,0.000964260574714765
"CTSF",0.540232533795023,3.56809497081255e-05,52,0.642863128129383,0.231976902203162,0.000975036564473062
"MRPL14",0.539954746822902,3.60773777167375e-05,52,0.682412100207641,0.396070659395155,0.000980865152542367
"NTPCR",0.53919104573034,3.71882323893212e-05,52,0.82476743831225,0.347680570812431,0.00100596046806669
"MPC1",0.538596824429376,3.80742415218387e-05,52,0.442807442770048,0.261348233258311,0.00102475194769331
"ECHDC2",0.538294913453233,3.85318049630494e-05,52,0.677977206110967,0.160155545092589,0.00102723857891478
"ATF6",0.53828283488053,3.85502155268614e-05,52,0.617431550422404,0.107530164697187,0.00102723857891478
"ATP6V1C1",0.5378886255422,3.91555426615575e-05,52,0.804399666539844,0.226868304688818,0.00103820339849159
"UBE2E3",0.537704957109451,3.94405491465421e-05,52,0.582551728035463,0.329542228012971,0.0010406087745265
"FBXO32",0.536376603156465,4.15593035349448e-05,52,0.850871259623034,0.424364353464368,0.00108666989657737
"JUN",0.536356530498339,4.15921076920017e-05,52,0.664494954453923,1.08143778755109,0.00108666989657737
"PRPF38A",0.53582879290232,4.2463162522597e-05,52,0.677977206110967,0.188993317002018,0.00110404222558752
"KRTCAP2",0.535164568047028,4.35833304948753e-05,52,0.848208119257686,0.637092607811942,0.00112429702290394
"DNAJB1",0.534299644128901,4.5082681843978e-05,52,0.561120942324857,0.768823279684942,0.00115532461223132
"CNN2",0.533129907748019,4.71858821797906e-05,52,0.365870519176407,0.244180123198726,0.00120346469026171
"HIST1H4C",0.532761297897718,4.78670977042066e-05,52,0.56912782893757,0.542429042004287,0.00121505296352479
"LMBRD1",0.532592606784855,4.8181853968604e-05,52,0.666760928479321,0.278379360634736,0.00121727363139549
"EFNA1",0.532261667040109,4.88048770114567e-05,52,0.848208119257686,0.437999807353712,0.00122722498250405
"SNHG5",0.532018003134813,4.92683170405907e-05,52,0.672672793996313,0.404257728451206,0.00123308928069815
"C19orf53",0.530986032589048,5.12762548158023e-05,52,0.602596193105882,0.506108478166745,0.00127737498043459
"MEA1",0.530514955723701,5.22175972989599e-05,52,0.666760928479321,0.351819151936172,0.00129480301450569
"RABGGTB",0.530292617125371,5.26673817598472e-05,52,0.65564033844301,0.237408380060932,0.00129975352164992
"PUF60",0.530177042228321,5.29025891933687e-05,52,0.860565600252449,0.482098871277795,0.00129975352164992
"TPM3",0.529639852486486,5.4008542296357e-05,52,0.889014571305761,0.507816192111617,0.00132027852201831
"STX6",0.529507386135539,5.428450407618e-05,52,0.54232614454664,0.155217113675782,0.00132027852201831
"SCCPDH",0.529415106080809,5.44775118308526e-05,52,0.822707519196087,0.279688689662571,0.00132027852201831
"DBNDD2",0.526384356433665,6.11777113426068e-05,52,0.672672793996313,0.389865633523572,0.00147187384811784
"EIF3H",0.526339520053613,6.12822756031138e-05,52,0.851757122704842,0.628656873225528,0.00147187384811784
"CYB5R3",0.52593903706492,6.22235541491746e-05,52,0.437237316097603,0.36347890896366,0.00148780962510259
"GZMM",0.525633335020984,6.29509704801294e-05,52,0.365870519176407,0.14275448899176,0.0014985128795181
"CLDN3",0.524970854747112,6.45541854348082e-05,52,0.486623482040275,0.731355128770904,0.00152799545244721
"MDM4",0.524886872920935,6.47600761212688e-05,52,0.783502597161409,0.254759406961985,0.00152799545244721
"RHOU",0.52476367942444,6.50631885460351e-05,52,0.79851861335054,0.196603685875239,0.00152841420110774
"S100A4",0.524489100627338,6.57434662748018e-05,52,1.00301205501418,0.62195851034623,0.00153765067846218
"COPA",0.521064800938053,7.47932634625456e-05,52,0.747797167230694,0.260436653920405,0.00173416761517487
"GSTP1",0.518970916531977,8.08754631336548e-05,52,0.682688324505619,0.763717685430591,0.001867107674758
"MRPS17",0.517124239931006,8.66121091257005e-05,52,0.506369683541833,0.227981603604802,0.00198595078673162
"IDH1",0.517076622491971,8.67648401970127e-05,52,0.489713185982251,0.256985890805227,0.00198595078673162
"USP33",0.516843370938263,8.75165543809012e-05,52,0.66901922767473,0.189634964988851,0.00199463261814514
"RPL30",0.516535186566934,8.85189039855045e-05,52,0.851757122704842,0.611816950340985,0.00200270884382963
"DEGS1",0.516390634059513,8.89926633367162e-05,52,0.706306433696128,0.242974306562204,0.00200270884382963
"LSM4",0.515969536326411,9.03860402932005e-05,52,0.605094011867236,0.372642252723076,0.0020211636755275
"ILF2",0.515915148593652,9.05674537204259e-05,52,0.982501501578149,0.496841798313563,0.0020211636755275
"KRT18",0.515633681872801,9.15116397492417e-05,52,0.576042565881542,0.804522975070641,0.00203376075724871
"SHARPIN",0.515434729742479,9.21844548783965e-05,52,0.860565600252449,0.393162918388908,0.002035552591747
"ARHGAP45",0.515284022324092,9.26971270218702e-05,52,0.365870519176407,0.0669553324365583,0.002035552591747
"S100A14",0.515245989920672,9.28269162774856e-05,52,0.970919546725772,0.35332609969366,0.002035552591747
"KLK11",0.515162484833315,9.31124691893232e-05,52,0.648411447872046,0.462698365740622,0.002035552591747
"NOP53",0.513612529017493,9.85607820558468e-05,52,0.63430107852676,0.360271901886526,0.00214590060443543
"CCT3",0.512650465746311,0.000102087694214972,52,0.846205263760685,0.601888230041299,0.00219801454265283
"UFC1",0.512645151107256,0.000102107494225091,52,0.627427412830393,0.522848330930753,0.00219801454265283
"GNPTG",0.512624218117608,0.000102185515519147,52,0.739940073395944,0.211409927265717,0.00219801454265283
"ACBD3",0.512438740044368,0.00010287921421821,52,0.775764110249457,0.240111239812651,0.00220408428541094
"GPBP1L1",0.512274954965668,0.000103495358367721,52,0.703364034699814,0.184353051442694,0.00220845075465144
